iter	Passed	Remaining
405	2151	3147
406	2152	3136
407	2153	3125
408	2155	3114
409	2156	3102
410	2157	3092
411	2158	3081
412	2160	3070
413	2161	3059
414	2162	3048
415	2163	3037
416	2165	3027
417	2166	3016
418	2167	3006
419	2169	2995
420	2170	2985
421	2172	2975
422	2174	2965
423	2175	2955
424	2177	2946
425	2179	2936
426	2181	2926
427	2182	2916
428	2183	2906
429	2185	2896
430	2186	2886
431	2187	2876
432	2189	2867
433	2191	2857
434	2192	2847
435	2196	2841
436	2198	2832
437	2202	2825
438	2203	2816
439	2205	2806
440	2206	2797
441	2208	2788
442	2210	2778
443	2211	2769
444	2212	2759
445	2214	2750
446	2215	2741
447	2217	2731
448	2218	2722
449	2220	2713
450	2221	2704
451	2222	2694
452	2223	2685
453	2225	2676
454	2226	2667
455	2228	2658
456	2229	2648
457	2230	2639
458	2232	2631
459	2233	2621
460	2234	2612
461	2235	2603
462	2237	2595
463	2238	2586
464	2239	2577
465	2241	2568
466	2242	2559
467	2244	2551
468	2245	2542
469	2246	2533
470	2247	2524
471	2249	2516
472	2250	2507
473	2251	2498
474	2252	2490
475	2254	2481
476	2256	2474
477	2258	2465
478	2259	2457
479	2260	2448
480	2262	2440
481	2263	2432
482	2264	2424
483	2265	2415
484	2267	2407
485	2268	2399
486	2270	2391
487	2271	2383
488	2273	2375
489	2274	2367
490	2275	2359
491	2277	2351
492	2278	2342
493	2279	2335
494	2281	2327
495	2282	2319
496	2283	2311
497	2285	2304
498	2288	2297
499	2289	2289
500	2291	2282
501	2292	2274
502	2293	2266
503	2295	2258
504	2296	2251
505	2298	2243
506	2299	2236
507	2301	2228
508	2302	2221
509	2306	2215
510	2307	2208
511	2311	2202
512	2312	2195
513	2314	2188
514	2316	2181
515	2317	2174
516	2319	2166
517	2320	2159
518	2321	2151
519	2323	2144
520	2324	2137
521	2326	2130
522	2327	2123
523	2329	2115
524	2330	2108
525	2332	2101
526	2333	2094
527	2335	2087
528	2336	2080
529	2338	2073
530	2340	2066
531	2341	2059
532	2342	2052
533	2343	2045
534	2347	2040
535	2348	2033
536	2350	2026
537	2351	2019
538	2353	2012
539	2355	2006
540	2356	1999
541	2358	1992
542	2359	1985
543	2361	1979
544	2363	1972
545	2364	1966
546	2367	1960
547	2370	1954
548	2371	1948
549	2373	1942
550	2375	1935
551	2377	1929
552	2379	1923
553	2380	1916
554	2382	1910
555	2383	1903
556	2385	1897
557	2386	1890
558	2388	1884
559	2390	1878
560	2392	1871
561	2394	1866
562	2396	1859
563	2397	1853
564	2399	1847
565	2401	1841
566	2403	1835
567	2404	1829
568	2406	1822
569	2410	1818
570	2412	1812
571	2414	1806
572	2417	1801
573	2420	1796
574	2421	1790
575	2423	1783
576	2425	1777
577	2427	1772
578	2429	1766
579	2430	1760
580	2432	1754
581	2433	1747
582	2435	1741
583	2436	1735
584	2438	1729
585	2440	1724
586	2441	1718
587	2443	1712
588	2465	1720
589	2466	1714
590	2468	1708
591	2469	1701
592	2471	1696
593	2473	1690
594	2474	1684
595	2476	1678
596	2477	1672
597	2479	1666
598	2480	1660
599	2482	1655
600	2484	1649
601	2486	1644
602	2488	1638
603	2490	1632
604	2492	1627
605	2494	1621
606	2496	1616
607	2497	1610
608	2499	1604
609	2500	1598
610	2502	1593
611	2503	1587
612	2505	1581
613	2507	1576
614	2508	1570
615	2510	1564
616	2511	1559
617	2513	1553
618	2514	1547
619	2516	1542
620	2517	1536
621	2520	1532
622	2522	1526
623	2523	1520
624	2526	1515
625	2528	1510
626	2530	1505
627	2533	1500
628	2535	1495
629	2537	1490
630	2539	1484
631	2540	1479
632	2542	1474
633	2544	1469
634	2546	1463
635	2548	1458
636	2550	1453
637	2552	1448
638	2555	1443
639	2557	1438
640	2558	1433
641	2561	1428
642	2563	1423
643	2565	1418
644	2568	1413
645	2571	1409
646	2573	1404
647	2577	1400
648	2580	1395
649	2581	1390
650	2583	1385
651	2586	1380
652	2587	1375
653	2589	1370
654	2592	1365
655	2593	1360
656	2595	1354
657	2597	1350
658	2600	1345
659	2601	1340
660	2603	1335
661	2606	1330
662	2607	1325
663	2609	1320
664	2611	1315
665	2613	1310
666	2614	1305
667	2616	1300
668	2618	1295
669	2620	1290
670	2622	1285
671	2623	1280
672	2624	1275
673	2626	1270
674	2628	1265
675	2630	1260
676	2631	1255
677	2633	1250
678	2637	1246
679	2639	1242
680	2641	1237
681	2643	1232
682	2645	1227
683	2649	1224
684	2653	1220
685	2655	1215
686	2660	1212
687	2662	1207
688	2664	1202
689	2666	1198
690	2668	1193
691	2670	1188
692	2672	1183
693	2673	1178
694	2675	1174
695	2677	1169
696	2678	1164
697	2680	1159
698	2682	1154
699	2687	1151
700	2689	1147
701	2691	1142
702	2693	1137
703	2699	1135
704	2700	1130
705	2702	1125
706	2712	1124
707	2715	1120
708	2717	1115
709	2719	1110
710	2721	1106
711	2723	1101
712	2724	1096
713	2726	1092
714	2728	1087
715	2730	1082
716	2731	1078
717	2733	1073
718	2734	1068
719	2736	1064
720	2737	1059
721	2739	1054
722	2740	1050
723	2741	1045
724	2746	1041
725	2749	1037
726	2752	1033
727	2758	1030
728	2765	1028
729	2767	1023
730	2768	1018
731	2771	1014
732	2772	1010
733	2774	1005
734	2776	1001
735	2778	996
736	2780	992
737	2783	988
738	2785	983
739	2786	978
740	2788	974
741	2790	970
742	2791	965
743	2792	960
744	2794	956
745	2795	951
746	2796	947
747	2798	942
748	2799	938
749	2801	933
750	2802	929
751	2804	924
752	2805	920
753	2807	915
754	2808	911
755	2809	906
756	2811	902
757	2812	898
758	2814	893
759	2815	889
760	2816	884
761	2818	880
762	2819	875
763	2820	871
764	2822	866
765	2823	862
766	2824	858
767	2826	853
768	2827	849
769	2828	845
770	2830	840
771	2833	836
772	2835	832
773	2839	828
774	2845	826
775	2846	821
776	2848	817
777	2850	813
778	2852	809
779	2855	805
780	2857	801
781	2859	797
782	2860	792
783	2862	788
784	2864	784
785	2866	780
786	2868	776
787	2870	772
788	2872	768
789	2874	764
790	2876	760
791	2878	755
792	2880	751
793	2882	747
794	2883	743
795	2885	739
796	2886	735
797	2889	731
798	2890	727
799	2893	723
800	2897	719
801	2899	715
802	2900	711
803	2902	707
804	2904	703
805	2905	699
806	2907	695
807	2908	691
808	2910	687
809	2913	683
810	2915	679
811	2918	675
812	2919	671
813	2921	667
814	2923	663
815	2925	659
816	2931	656
817	2935	653
818	2944	650
819	2946	646
820	2948	642
821	2950	639
822	2952	635
823	2955	631
824	2957	627
825	2960	623
826	2962	619
827	2963	615
828	2966	611
829	2967	607
830	2969	603
831	2971	600
832	2973	596
833	2974	592
834	2975	588
835	2978	584
836	2980	580
837	2981	576
838	2983	572
839	2985	568
840	2987	564
841	2989	560
842	2990	556
843	2992	553
844	2993	549
845	2995	545
846	2997	541
847	2998	537
848	3000	533
849	3002	529
850	3003	525
851	3005	522
852	3007	518
853	3009	514
854	3010	510
855	3011	506
856	3013	502
857	3015	499
858	3017	495
859	3018	491
860	3021	487
861	3022	483
862	3024	480
863	3026	476
864	3028	472
865	3030	468
866	3031	465
867	3035	461
868	3038	458
869	3040	454
870	3041	450
871	3043	446
872	3045	443
873	3047	439
874	3049	435
875	3051	431
876	3052	428
877	3053	424
878	3055	420
879	3057	416
880	3059	413
881	3062	409
882	3064	406
883	3066	402
884	3069	398
885	3071	395
886	3072	391
887	3075	387
888	3077	384
889	3078	380
890	3080	376
891	3081	373
892	3083	369
893	3084	365
